ID,Emissions per kilogram,Emissions per 1000 kilocalories,Emissions per 100 grams of protein,Emissions per 100 grams of fat,Land use per kilogram,Land use per 1000 kilocalories,Land use per 100 grams of protein,Land use per 100 grams of fat,Eutrophication per kilogram,Eutrophication per 1000 kilocalories,Eutrophication per 100 grams of protein,Eutrophication per 100 grams of fat,Water scarcity per kilogram,Water scarcity per 1000 kilocalories,Water scarcity per 100 grams of protein,Water scarcity per 100 grams of fat,Water withdrawals per kilogram,Water withdrawals per 1000 kilocalories,Water withdrawals per 100 grams of protein,Water withdrawals per 100 grams of fat,biodiversity_kg,biodiversity_1000kcal,biodiversity_100gprotein,biodiversity_100gfat
20,95.03457227,47.3365981,53.11102612,80.58170719,295.2535443,147.1667813,162.9558672,250.1744272,428.6949992,213.1046418,259.0730866,368.2241143,56773.19692,28257.66141,34461.75685,48887.08368,2493.946114,1239.728804,1525.350283,2146.730533,2594.211771,1292.887447,1471.263993,2209.804096
21,2.290114275,1.510110894,5.581412401,8.82962553,4.0816445,2.610892945,9.421015673,15.73056189,14.94879325,8.609661914,32.88539277,46.36279947,12893.17695,9531.58765,30865.32419,68199.51454,363.200418,259.9858064,856.2588014,1821.184563,88.5674305,50.92895221,212.4218357,222.9918886
22,129.7477148,68.09595354,64.190391,146.1078699,427.331126,223.6901354,211.3812045,478.8037171,360.7287949,195.5239466,178.9638443,429.9004092,48932.71275,26479.39371,24263.67543,58382.97359,1954.352984,1066.173594,969.8117647,2360.480947,3312.25473,1745.609251,1639.813911,3754.217587
23,0.686283222,0.606471579,1.509245815,4.45561995,0.827887302,0.766328967,2.069713105,4.625173155,2.82115754,2.657605146,7.830409409,20.60988285,2643.640133,2433.325304,8044.444293,19911.11355,122.416368,117.1330748,352.0210259,942.6314249,20.2091909,21.09843533,53.76677436,94.50940789
24,2.658240643,8.46967727,17.31285741,70.77283564,4.093929839,12.63204255,26.9597546,108.9928938,8.856975535,19.53544408,55.95189853,250.4127139,292.2070192,1107.943327,1970.693694,7588.115919,11.21259709,38.91831006,77.4087373,293.0403108,29.68230054,117.4304143,197.5484477,752.628428
25,3.989250537,1.127221384,7.426507902,5.531022471,7.879322971,2.167078465,12.44565816,9.838744962,14.22180394,4.149789248,31.21594624,24.32589163,8143.742321,2464.747076,19577.01598,16270.98899,481.1757316,146.2495025,1245.070713,952.2273162,637.9417681,179.1620062,1026.161498,849.3543763
26,20.10575331,6.113388551,14.04681671,7.243053521,23.8921457,7.249884408,16.39538959,8.581762035,67.50139258,20.56697236,46.87663648,24.40417917,39276.25127,11967.24568,27258.69787,14189.09227,1895.349021,576.4326347,1307.558918,682.6627802,1346.025191,406.5634842,903.8613195,479.9539911
27,2.513051436,0.377120867,1.693013176,0.380641396,12.81053501,1.921096706,8.667032014,1.934231833,19.62164854,2.94120589,13.30777483,2.956852629,145555.7417,21763.59688,100169.4517,21685.65974,3270.798559,489.5081862,2239.101881,489.3536221,271.9281091,40.76012733,184.4616176,40.97307336
28,0.878760846,0.407062472,1.437228788,3.581392828,2.2412011,0.943430831,2.858783696,8.361917507,6.022548688,2.56355124,8.810068764,20.63159725,7726.016718,3292.223305,10956.2892,29734.78822,241.9135951,103.0847046,376.1614743,871.0520882,35.43349096,14.82718654,47.91371377,114.691256
29,1.493427276,0.420174126,1.762845684,8.781947927,2.895190375,0.823422226,3.193545668,15.18928393,9.509492902,2.674988416,11.12742067,52.67987598,12400.22195,3468.99938,14566.47431,71238.09758,502.1027319,139.3460338,611.3865303,2945.777397,42.64860487,12.01457436,46.61314149,186.9278405
